dept,name,year,placement,source_url
berkeley,Subrata Kumar Ritadhi,2017,Research Economist at Reserve Bank of India,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Andrew Stevens,2017,Assistant Professor at Mississippi State University,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Rebecca Taylor,2017,Assistant Professor at University of Sydney,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Lydia Ashton,2016,Assistant Professor at University of Wisconsin- Madison,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Patrick Baylis,2016,Post Doctoral Scholar at Stanford University,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Lei Cheng,2016,Assistant Professor at Wuhan University,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Walter Graf,2016,Associate at The Brattle Group,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Angeli Kirk,2016,Staff Economist at Premise Data Corporation,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Daley Kutzman,2016,Assistant Professor at Northwestern University,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Gavin McCormick,2016,Executive Director at WattTime,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Eduardo Montoya,2016,Associate at Cornerstone Research,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Moon Parks,2016,Senior Economist at United States Government Accountability Office,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Obie Porteous2017 AAEA Outstanding Doctoral Dissertation Award,2016,Assistant Professor at Middlebury College,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Zhen Sun,2016,Assistant Professor at Tsinghua University,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Dilek Uz,2016,"Assistant Professor at University of Nevada, Reno",https://are.berkeley.edu/job-candidates/past-placements
berkeley,Yang Xie,2016,"Assistant Professor at University of California, Riverside",https://are.berkeley.edu/job-candidates/past-placements
berkeley,Geoffrey Barrows,2015,Post Doctoral Scholar ( 1 year) at London School of Economics,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Judson Boomhower,2015,Post Doctoral Scholar (2 years) at Stanford University,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Siwei Cao,2015,Assistant Professor at Beijing Normal University,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Steven Buck,2015,Assistant Professor at University of Kentucky,https://are.berkeley.edu/job-candidates/past-placements
berkeley,Lilia Chaidez,2015,Senior Economist at U.S. Government Accountability Office,https://are.berkeley.edu/job-candidates/past-placements
